Feature,Gain,Cover,Frequency
citrat,0.00102954760357577,0.00462485936294336,0.00213371266002845
immunoblot,0.00102808321841442,0.000660449699637011,0.000711237553342817
never,0.00102364264225818,4.08952837184917e-05,0.000237079184447606
start,0.00101961841090272,5.67990307240921e-05,0.000237079184447606
respons,0.00101353681845754,0.000581196747837576,0.000948316737790422
figur,0.00101198455278442,0.00218597987144703,0.00237079184447606
frequent,0.00100820395057048,0.00131390990305618,0.000948316737790422
expand,0.00100487841278874,0.00132170360402309,0.000948316737790422
partner,0.001004009613868,0.000311905291069701,0.000474158368895211
region,0.001002028386885,0.00104573991625188,0.000711237553342817
ubiquit,0.00100195051257012,0.00247746774734628,0.00189663347558084
line,0.000998685011969679,0.00194978739802751,0.00118539592223803
pedigre,0.000995251581282404,0.00326957768025416,0.00118539592223803
current,0.000994455871104119,0.000970505135755308,0.000948316737790422
reduc,0.000993138533531759,0.00090974353335302,0.00118539592223803
receptor,0.000982963536457003,0.002075351846714,0.00165955429113324
group,0.000982871305424857,0.000909433169209014,0.00165955429113324
fraction,0.000977285672303479,0.000921514160224772,0.000948316737790422
remain,0.000976433840412236,0.000489130624445779,0.000948316737790422
malign,0.000973365853437242,0.000959732564703002,0.00142247510668563
number,0.000964298063800285,0.00141776231874976,0.00165955429113324
play,0.000962601795902454,0.000481528497195978,0.00118539592223803
human,0.000953834627224052,0.000711165689753584,0.00142247510668563
appropri,0.00094919088176587,0.00202522656522876,0.000948316737790422
target,0.000947585974796109,0.00213938338335185,0.00118539592223803
molecular,0.000945268887639441,0.000966834226320059,0.00142247510668563
round,0.00094513097614326,0.00301310445586368,0.00142247510668563
gainoffunct,0.000941326881119245,0.000754644205185637,0.00118539592223803
famili,0.00093979201752767,0.0005692522829999,0.000948316737790422
methyl,0.000935047775048612,0.00139942161972166,0.00118539592223803
detect,0.000933425465997314,0.00104292871917609,0.00142247510668563
abl,0.000931041815878767,6.95218443000258e-05,0.000237079184447606
consist,0.000923372283493318,0.000470240094127278,0.00142247510668563
caus,0.000922978561398541,0.000747805497358242,0.00142247510668563
activity,0.000917751846208866,0.00167838405266131,0.000711237553342817
except,0.000911891695251239,0.000147896013781843,0.000948316737790422
eleven,0.000907252300313443,0.0018916156293629,0.000711237553342817
polymorph,0.000891028339696383,0.00254951814387793,0.00165955429113324
seri,0.000890296147115708,9.38637602430747e-05,0.000474158368895211
even,0.00088968141858541,0.000605791611018061,0.000711237553342817
statist,0.00088955394833815,0.000442893912159392,0.000948316737790422
encod,0.000888727784517175,0.000702775897320349,0.00165955429113324
lack,0.000888558984326265,0.00048206979416252,0.00142247510668563
discov,0.000885526671618422,0.00010496436217987,0.000237079184447606
structur,0.000885467504541195,0.000932724305153989,0.000711237553342817
demonstr,0.000882148492540027,0.000920166887234399,0.00165955429113324
normal,0.000881759991069711,0.000534178581331206,0.00165955429113324
view,0.00088156943827688,0.00105538002163494,0.000948316737790422
disrupt,0.000877216742632407,0.000527165874512908,0.000948316737790422
transform,0.000875980324739194,0.00119567717467369,0.00118539592223803
gene,0.000874305809443285,0.000714230961241652,0.00118539592223803
modif,0.000872241922572982,0.00195915111553701,0.00165955429113324
cycl,0.000869388851304971,0.000735573786962739,0.00142247510668563
transcript,0.000869075178785264,0.000241896599249387,0.00118539592223803
biolab,0.000867495504833731,0.00155938199293935,0.000711237553342817
germani,0.000866718936945137,0.00105550217058281,0.000711237553342817
likelihood,0.000865562133574957,0.000732707358319378,0.000237079184447606
yeast,0.000865355483856704,0.00238884926075545,0.000474158368895211
determin,0.000865308933288592,0.000646871383354617,0.00118539592223803
form,0.000859804219846362,0.000417532708103322,0.00118539592223803
cgc,0.000853885336863548,0.000138103072690744,0.000237079184447606
rough,0.000850964397477542,0.000284018157188798,0.000474158368895211
reason,0.000849520459761999,0.00083182149900687,0.00118539592223803
sampl,0.00084875911869475,0.000496315351948103,0.00118539592223803
stain,0.000848219654167099,0.00011356408517775,0.000948316737790422
antibodi,0.000842968576063272,0.00114656204888484,0.00165955429113324
repress,0.000838260442903403,0.00104080289041535,0.00142247510668563
tumor,0.000832821857371014,0.00194638965596627,0.000948316737790422
purpos,0.000832182330874525,0.000985915686255759,0.000711237553342817
brca,0.000830839760283936,0.00123047927321102,0.000711237553342817
improv,0.000830727516858021,0.000222257486810057,0.000237079184447606
graphic,0.000826812048512169,3.99864127334892e-05,0.000237079184447606
aim,0.000825468172765464,0.00168141822332498,0.000474158368895211
egfr,0.000823365131211703,0.000762984654964789,0.000711237553342817
window,0.000821954692503119,0.000850966402784044,0.000711237553342817
like,0.000820803979861477,0.001438061173529,0.000948316737790422
explain,0.000820792668508478,0.00123973797943106,0.000948316737790422
occurr,0.000820184030706717,0.000359463650371334,0.000711237553342817
erg,0.00081855041030242,0.000691128408549905,0.000237079184447606
laemm,0.000817863463133742,0.00320543885497358,0.00165955429113324
monom,0.000816296840743362,0.000295165686405001,0.000237079184447606
genotyp,0.000815458495465311,0.00072782554104686,0.000711237553342817
respect,0.000812996100927808,0.000664668140005821,0.00165955429113324
previous,0.00081146254249235,0.000841055315365965,0.00118539592223803
bovin,0.000807304315109054,0.000874156300024767,0.000474158368895211
virus,0.000806758324800827,0.00116103380075788,0.000474158368895211
dnabind,0.000800919491393083,0.00127059979674792,0.000474158368895211
due,0.000796959212687273,0.00166201011271889,0.000948316737790422
qualit,0.000795984261069155,0.000590593613489045,0.000237079184447606
lysat,0.000794740012239251,0.0010836258731605,0.000948316737790422
complex,0.000789045181056228,0.00150219015328233,0.00118539592223803
hydrophob,0.000786746801137212,0.00038563711042539,0.000474158368895211
histon,0.000785892358933739,0.000961038707313187,0.00118539592223803
stat,0.000785404230546623,0.00158524812532042,0.00118539592223803
reduct,0.000784952646530735,0.00089519428245825,0.000711237553342817
phosphoinositid,0.000783707092544715,0.00102791445114739,0.000237079184447606
channel,0.00077745104423212,0.000951041126478161,0.000237079184447606
medium,0.000777438862775044,0.00160245341422254,0.000711237553342817
resist,0.000777289204873824,0.0017147934565255,0.000948316737790422
actin,0.000774215997274368,0.00181354818946129,0.00118539592223803
public,0.000773828800960167,0.000152426704587263,0.000474158368895211
sodium,0.000773386788089125,0.000892349132115601,0.000948316737790422
candid,0.000772996111358616,0.000248358025552484,0.000237079184447606
acid,0.000770250497944096,0.000549260157800867,0.00237079184447606
proper,0.000765478412134579,0.00152772678255054,0.000474158368895211
western,0.000763433232501929,0.000130607820019437,0.000474158368895211
locus,0.000760876866724125,0.000702187834099377,0.000711237553342817
occur,0.000760085072014186,0.000330126072496065,0.00165955429113324
charg,0.00075721938423706,0.00020853907879649,0.000711237553342817
earli,0.000757054499514496,0.00148210518568149,0.00118539592223803
primer,0.000756755183712058,0.00026317349674362,0.000711237553342817
publish,0.000756223985173137,0.000461014743081331,0.000474158368895211
trial,0.000754643006065489,0.000675861768372972,0.000711237553342817
mtor,0.00074932057942736,0.000973821560202481,0.000237079184447606
along,0.000749232698915598,0.00091780511087322,0.000948316737790422
incub,0.000746305233749015,0.00044850825506204,0.00118539592223803
andor,0.000742244458022328,0.000526364315174199,0.00165955429113324
alter,0.00074196428450958,0.000778276898113282,0.00118539592223803
obtain,0.00073675018582902,0.000429332112439064,0.00165955429113324
suffici,0.000734149879795335,0.000648423894181694,0.000948316737790422
